listing_id,title,price,expiration_date,location,url,auction_status,category,collected_at
335351,"Garažas (boksas), 22,2 kv. m Vilniaus m. sav. Vilniaus m. Tauro g. 10A-4",33700.0,2026-09-29 13:59,Vilniaus m. sav. Vilniaus m. Tauro g. 10A-4,https://www.eaukcionai.lt/evs/pages/auction.do?id=336531&number=335351,Paskelbtas,Apartments,2026-09-08 17:50:08
335353,"Neįrengta pastogė 401/3750 dalis, 71,34 kv. m Vilniaus m. sav. Vilniaus m. Trakų g. 8-15A",2288.0,2026-09-29 13:59,Vilniaus m. sav. Vilniaus m. Trakų g. 8-15A,https://www.eaukcionai.lt/evs/pages/auction.do?id=336532&number=335353,Paskelbtas,Apartments,2026-09-08 17:50:08
335355,"Neįrengta pastogė 401/3750 dalis, 138,6 kv. m Vilniaus m. sav. Vilniaus m. Trakų g. 8-15B",4419.0,2026-09-29 13:59,Vilniaus m. sav. Vilniaus m. Trakų g. 8-15B,https://www.eaukcionai.lt/evs/pages/auction.do?id=336533&number=335355,Paskelbtas,Apartments,2026-09-08 17:50:08
335357,"Butas 2 kamb., 35,4 kv. m Vilniaus m. sav. Vilniaus m. Tremtinių g. 2-4",20792.0,2026-09-29 13:59,Vilniaus m. sav. Vilniaus m. Tremtinių g. 2-4,https://www.eaukcionai.lt/evs/pages/auction.do?id=336534&number=335357,Paskelbtas,Apartments,2026-09-08 17:50:08
335363,"Neįrengta pastogė 22/1000 dalis, 611,17 kv. m Vilniaus m. sav. Vilniaus m. V. Grybo g. 40",2622.0,2026-09-29 13:59,Vilniaus m. sav. Vilniaus m. V. Grybo g. 40,https://www.eaukcionai.lt/evs/pages/auction.do?id=336538&number=335363,Paskelbtas,Apartments,2026-09-08 17:50:08
335366,"Butas 2 kamb., 49,03 kv. m Vilniaus m. sav. Vilniaus m. Vinkšnų g. 10-3",31671.0,2026-09-29 13:59,Vilniaus m. sav. Vilniaus m. Vinkšnų g. 10-3,https://www.eaukcionai.lt/evs/pages/auction.do?id=336540&number=335366,Paskelbtas,Apartments,2026-09-08 17:50:08
337318,"Butas 1 kamb., 35,56 kv. m Vilniaus m. sav. Vilniaus m. Juodšilių g. 1A-14",55100.0,2026-09-29 13:59,Vilniaus m. sav. Vilniaus m. Juodšilių g. 1A-14,https://www.eaukcionai.lt/evs/pages/auction.do?id=337969&number=337318,Paskelbtas,Apartments,2026-09-08 17:50:09
336754,"Garažas (boksas), 29,14 kv. m Vilniaus m. sav. Vilniaus m. Bitininkų g. 6A-123",15840.0,2026-09-30 09:46,Vilniaus m. sav. Vilniaus m. Bitininkų g. 6A-123,https://www.eaukcionai.lt/evs/pages/auction.do?id=337498&number=336754,Vykstančios,Apartments,2026-09-08 17:50:09
337094,"Administracinės patalpos 12890/612642 dalis 0 kamb., 6126,42 kv. m Vilniaus m. sav. Vilniaus m. A. Juozapavičiaus g. 9-2",,2026-09-30 13:59,Vilniaus m. sav. Vilniaus m. A. Juozapavičiaus g. 9-2,https://www.eaukcionai.lt/evs/pages/auction.do?id=337735&number=337094,Paskelbtas,Apartments,2026-09-08 17:50:09
337097,"Administracinės patalpos 13931/612642 dalis 0 kamb., 6126,42 kv. m Vilniaus m. sav. Vilniaus m. A. Juozapavičiaus g. 9-2",,2026-09-30 13:59,Vilniaus m. sav. Vilniaus m. A. Juozapavičiaus g. 9-2,https://www.eaukcionai.lt/evs/pages/auction.do?id=337737&number=337097,Paskelbtas,Apartments,2026-09-08 17:50:09
